"Original","Copies"
"speciaux/apos","speciaux/DiacriticalAcute"
"speciaux/DiacriticalTilde","speciaux/0x1FC0"
"A","Α А"
"Á","Ά Ά"
"À","Ὰ"
"Ä","Ӓ"
"Ă","Ᾰ Ӑ"
"Ā","Ᾱ"
"Æ","Ӕ"
"B","Β В"
"C","Ϲ С speciaux/lpar"
"E","Ε Е"
"É","Έ"
"È","Ѐ"
"Ë","Ё"
"Ĕ","Ӗ"
"F","Ϝ"
"H","Η Н"
"I","Ι І 1"
"Í","Ί"
"Ï","Ϊ Ї"
"K","Κ К"
"Ḱ","Ќ"
"M","Μ М"
"N","Ν"
"O","Ο О 0"
"Ó","Ό"
"Ö","Ӧ"
"P","Ρ Р"
"T","Τ Т"
"Þ","Ϸ"
"X","Χ Х"
"Y","Υ У"
"Ý","Ύ"
"Ÿ","Ϋ Ӱ"
"Ȳ","Ӯ"
"Z","Ζ"
"Γ","Г"
"Δ","Д"
"Θ","Ѳ"
"Λ","Л"
"Π","П"
"Φ","Ф"
"З","3"
"Ч","4"
